Entity,Code,Year,agriculture_ha
Afghanistan,AFG,1780,4112949.968
Afghanistan,AFG,1790,4449311.301
Afghanistan,AFG,1800,4820948.132
Afghanistan,AFG,1810,5216401.543
Afghanistan,AFG,1820,5647932.289
Afghanistan,AFG,1830,6170640.485
Afghanistan,AFG,1840,6878738.274
Afghanistan,AFG,1850,7694540.544
Afghanistan,AFG,1860,8594280.972
Afghanistan,AFG,1870,9620540.192
Afghanistan,AFG,1880,10917475.11
Afghanistan,AFG,1890,12515403.61
Afghanistan,AFG,1900,14352881.51
Afghanistan,AFG,1910,16443352.6
Afghanistan,AFG,1920,19221396.07
Afghanistan,AFG,1930,22271170.55
Afghanistan,AFG,1940,25657741.38
Afghanistan,AFG,1950,29315146.59
Afghanistan,AFG,1960,36281692.55
Afghanistan,AFG,1970,36594000.36
Afghanistan,AFG,1980,36659117.96
Afghanistan,AFG,1990,36676513.92
Afghanistan,AFG,2000,36614717.84
Afghanistan,AFG,2010,36634282.15
Africa,,1780,198907447.4
Africa,,1790,206414455.3
Africa,,1800,214417873.5
Africa,,1810,223070347.9
Africa,,1820,234695282.8
Africa,,1830,251829071.1
Africa,,1840,270511789.3
Africa,,1850,290313197
Africa,,1860,312885176.9
Africa,,1870,339191298.2
Africa,,1880,370130659.6
Africa,,1890,401556168.8
Africa,,1900,437846193
Africa,,1910,483711535.8
Africa,,1920,541988715
Africa,,1930,605376387.6
Africa,,1940,684031512.5
Africa,,1950,766776723.1
Africa,,1960,947634110.5
Africa,,1970,928633275.4
Africa,,1980,934198821.8
Africa,,1990,948027837
Africa,,2000,921837099.8
Africa,,2010,932348968.5
Albania,ALB,1780,220706.3364
Albania,ALB,1790,228265.9157
Albania,ALB,1800,236060.3092
Albania,ALB,1810,244343.1267
Albania,ALB,1820,252859.8852
Albania,ALB,1830,259986.844
Albania,ALB,1840,278589.7181
Albania,ALB,1850,300060.5497
Albania,ALB,1860,334377.2218
Albania,ALB,1870,369719.8454
Albania,ALB,1880,412628.4209
Albania,ALB,1890,457204.0215
Albania,ALB,1900,512058.7091
Albania,ALB,1910,569442.2393
Albania,ALB,1920,620219.6882
Albania,ALB,1930,657883.0202
Albania,ALB,1940,732580.6859
Albania,ALB,1950,849267.8389
Albania,ALB,1960,1139650.335
Albania,ALB,1970,1132672.675
Albania,ALB,1980,1032768.224
Albania,ALB,1990,1000454.707
Albania,ALB,2000,958258.7649
Albania,ALB,2010,905853.4024
Algeria,DZA,1780,9021801.895
Algeria,DZA,1790,9354326.352
Algeria,DZA,1800,9690035.341
Algeria,DZA,1810,10028980.88
Algeria,DZA,1820,10376061.34
Algeria,DZA,1830,12221591.53
Algeria,DZA,1840,14082918.21
Algeria,DZA,1850,15961219.08
Algeria,DZA,1860,17851359.59
Algeria,DZA,1870,19761527.26
Algeria,DZA,1880,21690223.5
Algeria,DZA,1890,23639950.38
Algeria,DZA,1900,25610834.09
Algeria,DZA,1910,27595532.58
Algeria,DZA,1920,29587534.45
Algeria,DZA,1930,31594769.34
Algeria,DZA,1940,33658614.09
Algeria,DZA,1950,35678500.34
Algeria,DZA,1960,44092670.99
Algeria,DZA,1970,40753951.75
Algeria,DZA,1980,39803525.3
Algeria,DZA,1990,36208182.83
Algeria,DZA,2000,36553144.26
Algeria,DZA,2010,36812934.13
Angola,AGO,1780,9970234.383
Angola,AGO,1790,10536492.3
Angola,AGO,1800,11136660.83
Angola,AGO,1810,11772082.61
Angola,AGO,1820,12527510.26
Angola,AGO,1830,13332972.95
Angola,AGO,1840,14190425.13
Angola,AGO,1850,15105465.44
Angola,AGO,1860,16081211.08
Angola,AGO,1870,17292673.82
Angola,AGO,1880,18599536.38
Angola,AGO,1890,20010522.2
Angola,AGO,1900,21533094.15
Angola,AGO,1910,23179997.72
Angola,AGO,1920,27123876.9
Angola,AGO,1930,31129759.96
Angola,AGO,1940,36428222.47
Angola,AGO,1950,42008055.05
Angola,AGO,1960,50974004.1
Angola,AGO,1970,51072599.79
Angola,AGO,1980,51075319.18
Angola,AGO,1990,51064060.65
Angola,AGO,2000,50950175.49
Angola,AGO,2010,50992102.68
Argentina,ARG,1780,1716448.55
Argentina,ARG,1790,2193515.738
Argentina,ARG,1800,2818304.687
Argentina,ARG,1810,3628299.871
Argentina,ARG,1820,4758139.823
Argentina,ARG,1830,6264569.911
Argentina,ARG,1840,8117017.606
Argentina,ARG,1850,10310911.75
Argentina,ARG,1860,13023070.89
Argentina,ARG,1870,16397849.11
Argentina,ARG,1880,20700952.51
Argentina,ARG,1890,26271720.62
Argentina,ARG,1900,33211358.81
Argentina,ARG,1910,45040901.8
Argentina,ARG,1920,59547489.21
Argentina,ARG,1930,78843398.89
Argentina,ARG,1940,94456798.59
Argentina,ARG,1950,108824700.7
Argentina,ARG,1960,131144213.4
Argentina,ARG,1970,122914568.1
Argentina,ARG,1980,119696347.1
Argentina,ARG,1990,117865598.2
Argentina,ARG,2000,117759635.3
Argentina,ARG,2010,117915390.5
Armenia,ARM,1780,438765.9137
Armenia,ARM,1790,454123.5402
Armenia,ARM,1800,470472.2974
Armenia,ARM,1810,487905.2606
Armenia,ARM,1820,506518.2689
Armenia,ARM,1830,529064.8352
Armenia,ARM,1840,552771.1964
Armenia,ARM,1850,578457.5978
Armenia,ARM,1860,604967.7037
Armenia,ARM,1870,633475.3396
Armenia,ARM,1880,664333.0074
Armenia,ARM,1890,696000.3043
Armenia,ARM,1900,729126.6097
Armenia,ARM,1910,760451.1992
Armenia,ARM,1920,801952.3876
Armenia,ARM,1930,847993.3761
Armenia,ARM,1940,1052885.83
Armenia,ARM,1950,1092642.349
Armenia,ARM,1960,1448013.935
Armenia,ARM,1970,1406553.654
Armenia,ARM,1980,1409223.194
Armenia,ARM,1990,1293930.731
Armenia,ARM,2000,1287999.035
Armenia,ARM,2010,1254805.91
Asia,,1780,368982063
Asia,,1790,385753800.1
Asia,,1800,392863975.3
Asia,,1810,420724394.5
Asia,,1820,434443135.1
Asia,,1830,459006012.8
Asia,,1840,477666222
Asia,,1850,498321987.4
Asia,,1860,502566749.7
Asia,,1870,512789376.3
Asia,,1880,543302284.1
Asia,,1890,582233233.6
Asia,,1900,631071795.5
Asia,,1910,686846759.5
Asia,,1920,755861163.3
Asia,,1930,812269152.7
Asia,,1940,907261264.7
Asia,,1950,952215731.1
Asia,,1960,1235916632
Asia,,1970,1276920895
Asia,,1980,1321608417
Asia,,1990,1451805574
